id	sentiment	tweet
250	0	⛷️🇨🇳🇺🇸 Olympian Eileen Gu’s marketing power: The risks and rewards for brands https://t.co/3zGJQKryzL via @WSJ #Olympics #OlympicGames #EileenGu #Eileen_Gu #marketing #branding #brand #China #USA #sport #sports #athlete #skiing #communication
534	0	Eileen Gu: #Eileen Gu China's Eileen Gu cruised to victory in the women's freestyle skiing halfpipe final, claiming her second gold medal at the Beijing Olympics. #EileenGu https://t.co/fHi09BTW8N
564	1	Yes, yes and yeeeeessss.. EIAN RANCES #EileenGu | @EianRances https://t.co/KXUmOPIUtd
342	-1	@HAGnews2 Yeah she's a liar and propagandist who has ZERO in common w the average OPPRESSED person in China. She's a spoiled American rich girl competing for an oppressive regime of which she'll never be a victim. I wonder if she'll do a medal tour at the Uyghur camps?#EileenGu 🤮🤮🤮
46	-1	@EileenGuCPCNo1 I love #BillMaher because unlike state run Chinese propaganda, he speaks the truth and has a lot more balls than #JohnCena. I hope #EileenGu calls attention to the human rights abuses in China, Hong Kong and the Uyghurs.
442	1	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/knz1E4PwcH
53	0	Hold Your Horses EP25 - “Roasting”the Winter Olympics. From the robot chefs, #BingDwenDwen to skiing sensation #EileenGu, Kevin leaves no stone unturned. Watch the episode and tell us, do you agree or is he full of it? #Beijing2022 #WinterOlympics Watch➡️https://t.co/Kt71C1Aiax https://t.co/Roghtm3x0A
537	rep	Second gold for #EileenGu! Free ski talent Gu Ailing eased to the top podium of her odds-on halfpipe at the #Beijing2022 on Friday, which is her second gold medal for host China.#Beijing2022WinterOlympics https://t.co/sg8r7RX09l
453	-1	If Eileen Gu worked as a server in a restaurant she’d probably be told to “go back where you came from” she did ‘go back where she came from’ and the right are still pissed over that! #Eileen_Gu #EileenGu #Olympics
364	0	By @SCMPNews “Eileen Gu won her second Olympic gold medal in the women’s freeski half-pipe final. This is also China’s first ever Winter Olympic gold medal in this event.” #EileenGu #Freestyle #skiing #Gold #China #Beijing2022 #WinterOlympics https://t.co/PfuKBBqZyu
579	1	It has changed my life forever... honored to inspire young girls through my own passion for the sport - #EileenGu The ski sensation wins 2 golds and 1 silver at her first-ever #WinterOlympics. #China #Beijing #WinterOlympics2022 https://t.co/e1qtPgWnSD
415	rep	@fanatic_racing #eileengu is a traitor and a sell out and should be booed every day of her life if she returns to America.
127	0	@KaiserKuo I don’t think #EileenGu is an “Asian-American” anymore https://t.co/uRlsbz58kw
440	-1	@HateVietnamese Her single mother, a successful professional &amp; a part time ski coach paid more taxes to the US and paid for #EileenGu training all over the world &amp; her private education. Eileen earned 50 medals for the US. What have you done 4 the US? Go file and pay taxes b4 IRS gets u
156	rep	@vitamixer @NBCOlympics @nbc @USA_Network @peacockTV #EileenGu's a trump supporter even though Trump instigated violence against Asian Americans with his rhetoric about the Chinese Kungflu. She brags about her SAT score but anyone who supports trump saying covid can be stopped by ingesting bleach can't be that smart. #cryabit
393	0	#Olympics#EileenGu Check out how Mike Tirico introduces Eileen Gu on national tv. Oops https://t.co/3A4KBSVtHv
