1	-1	#china brainwashing it’s people. And it’s working. #ignorant #chinese #USA #Australia #Europe #Asia @ASEAN #Japan #TiananmenSquareMassacre #tiananmen #EileenGu https://t.co/YQ3KzeZk7N
2	-1	@ChinaDaily I think #EileenGu skis for #China out of a strong sense of being bi-cultural that most people can’t understand (along with brand value). It is sad that #Uyghur #CulturalGenocide, #Tibet, #HongKong, and #Taiwan remain to overshadow this.
3	-1	@EpochTimesChina I love @BillMaher because unlike state run Chinese propaganda, he speaks the truth. Bill has more balls than @JohnCena, who grovels for China along with #EileenGu who should be alarming folks as to the human rights abuses in China, Hong Kong and the Uyghurs. Do the right thing.
4	-1	Bill Meher is hysterical. But it's sad that #EileenGu looks the other way as China commits atrocities against the Uyghers. Uygher torchbearers and pandas are being used by China at the Olympics to gaslight everyone. And Eileen is being used as well...for the $. https://t.co/iyYP0dmeqy
5	rep	@poldark1900 @EileenGuCPCNo1 @BillMeher is hysterical. But it's sad that #EileenGu looks the other way as China commits atrocities against the Uyghers. Uygher torchbearers and pandas are being used by China at the Olympics to gaslight everyone. And Eileen is being used as well...for the $. https://t.co/68fNdS2GKc
6	rep	@EdwardFCamp007 @EileenGuCPCNo1 Bill Meher is hysterical. But it's sad that #EileenGu looks the other way as China commits atrocities against the Uyghers. Uygher torchbearers and pandas are being used by China at the Olympics to gaslight everyone. And Eileen is being used as well...for the $.
7	-1	I love #BillMaher because unlike state run Chinese propaganda, he speaks the truth. Bill has more balls than #JohnCena, who grovels for China.#EileenGu needs calls attention to the human rights abuses in China, Hong Kong and the Uyghurs, or her medals are for nothing! https://t.co/x6xCbidsIO
8	-1	US racism unhinged - attacks on Eileen Gu's choice to rep China. The racist anti-China depictions in this piece show how insecure and desperate some Americans have become. We must expose this hate! https://t.co/4n52Qzyka2 via @YouTube #EileenGu #EileenGuTraitor
9	-1	#EileenGu Another reason we need a put a moratorium on ALL immigration. china is so great, immigrate to china. and enjoy fascism.
10	-1	Disgusting #EileenGu #EileenGuTraitor #BoycottBeijingOlympics https://t.co/LDINY3RTAf
11	1	https://t.co/pgY4EM85K4 He's right though. #billmaher #EileenGu #EileenGuTraitor
12	-1	Is that cool now? To choose a totalitarian police state over America?' Bill Maher slams Eileen Gu Nice slam👍 this gold digger #eileengu can't represent overseas Chinese people! #eileengutraitor #takedowntheccp #ccp≠chinese https://t.co/16nAkvzdBA
13	0	#EileenGu represents every Chinese American's story whose identity is consistently entangled in the whims of U.S-China geopolitics. Great piece from @wongalum https://t.co/ZSBP9Fm6WF
14	1	We should all have the freedom to choose our allegiances as a fundamental #humanright. This is why #EileenGu's story is a win for #GlobalCitizens everywhere. https://t.co/zGXpiGx6SN
